Name,Category,Latitude,Longitude,Area,Distance to center
LPP postajališče Trata,Bus Station,46.08725373924386,14.474060676995006,82,4692.352650099813
LPP postajališče  Plešičeva,Bus Station,46.081803517443895,14.469102655863589,82,4427.9734915704075
LPP postajališče Kompas,Bus Station,46.07996318695217,14.480174425442323,82,3754.579127256112
LPP postajališče Ljubljanske brigade,Bus Station,46.08256644944621,14.483540463965056,83,3878.208660649837
LPP postajalisce Tehnounion,Bus Station,46.08595360599502,14.480562153124467,83,4318.245880992379
LPP postajalisce Kovinarska,Bus Station,46.08013208721305,14.491554089800713,83,3385.249882129683
LPP linija 8,Bus Line,46.08486992581665,14.49827233539517,84,3768.3624120977443
LPP Postajališče Tovarna Lek,Bus Station,46.079324,14.501106,84,3126.912021876796
LPP postajališče Litostrojska,Bus Station,46.082547,14.497273999999999,84,3527.888643180058
LPP postajališče Stožice,Bus Station,46.085925103781,14.514110869611454,85,3886.505385646732
LPP postajališče Smelt,Bus Station,46.08235798458272,14.513304388475829,85,3485.1367877417547
Pod Mostom,Bus Station,46.08398763678314,14.508669164758285,85,3626.831168208871
LPP postajališče Nove Stožice,Bus Station,46.08194521397832,14.519851422412774,86,3557.2765933545274
LPP postajališče Center Stožice P+R,Bus Station,46.078925,14.525337,86,3401.6999590323053
Maroltova,Bus Stop,46.079887,14.519729000000002,86,3336.680178667056
LPP postajališče Šentvid,Bus Station,46.096098373532364,14.465519741183643,91,5876.169283178478
LPP postajališče Pržan,Bus Station,46.08817092030801,14.458759896615028,91,5487.246570189083
LPP postajališče Prušnikova,Bus Station,46.090233785063155,14.471694059895427,92,5070.327983020662
LPP postajališče Podgora,Bus Station,46.092714115500094,14.469448152823595,92,5396.161518528337
LPP postajališče IMP,Bus Stop,46.08930587768555,14.477215766906738,92,4768.367110099719
LPP postajališče Savlje,Bus Line,46.09516221767039,14.503282512049775,94,4868.319241863053
LPP postajališče Ruski car,Bus Station,46.089487857092095,14.511485575339865,95,4253.217299861383
LPP postajališče 7. septembra,Bus Station,46.09004308044515,14.508854149957836,95,4299.741904704817
kalisnikov trg,Bus Line,46.0936872767565,14.510508756163848,95,4711.8906502904165
Lpp Postajališče Čerinova,Bus Stop,46.091084,14.513673,95,4448.932460070623
LPP postajališče Brnčičeva,Bus Line,46.094109272596455,14.553728337464161,98,6008.9195331164665
LPP postajališče Slovenijales,Bus Station,46.0939289387486,14.552692669533998,98,5944.175038039382
