Name,Category,Latitude,Longitude,Area,Distance to center
Kavarna Slaščičarna Sladolednica,Café,46.073997999999996,14.474948000000001,72,3480.459580070461
Toskana Delikatesa,Deli / Bodega,46.07548170397264,14.476735128698676,72,3510.193053589201
Matej&Anja's Gourmet,Vegetarian / Vegan Restaurant,46.072525,14.470811,72,3600.52650290428
Dnevni Bar Stolcek,Café,46.0757501,14.47502555,72,3619.4598220128773
Pizzeria Bullizza,Pizza Place,46.071132,14.470279999999999,72,3533.7122429499395
Kufe,Café,46.074272,14.474749,72,3513.104471509704
Bohinjska sirarna,Food Court,46.075478575011424,14.476747389523792,72,3509.3140194597645
Pečjak,Bakery,46.075474550456654,14.476728481102722,72,3509.9200056046693
Toscana,Deli / Bodega,46.07444804057835,14.476207950249092,72,3450.6317371598493
Intermezzo,Café,46.071742004211494,14.473114013671875,72,3409.044666311731
Perutnina Ptuj,Food Court,46.075480856019574,14.476723025198204,72,3510.7274015625158
LU-NA bar,Café,46.073856,14.474364000000001,72,3500.635937670105
Pekarna Rogač,Bakery,46.075192,14.475523999999998,72,3547.498865755388
Hot Horse Deli,Fast Food Restaurant,46.074085600000004,14.47531987,72,3467.6673463488337
Slaščičarna Fontana,Dessert Shop,46.07218859478651,14.472534656524658,72,3475.515986463571
Sladolednica,Dessert Shop,46.07398746582871,14.474881097661555,72,3483.202576991508
Gostilna pri Rudiju,Restaurant,46.074989318847656,14.474920272827148,72,3562.2102964532496
Plac Bar,Café,46.07382583618164,14.47446060180664,72,3493.005267990125
Zebra Patisseries,Café,46.069671,14.473054000000001,72,3264.651102477941
Cafe Aleksander,Café,46.074163875552124,14.475241840276894,72,3478.1373094362057
Noni Cafe,Café,46.07382441673472,14.474843914358814,72,3472.1721548517216
Brazzera,Pizza Place,46.07420740082761,14.475383942160315,72,3474.126438976709
iES! kava bar,Café,46.0757882271678,14.480586471723079,73,3352.576758641916
Kavarna Damma,Breakfast Spot,46.07098100447653,14.483700395168805,73,2781.439426113097
Frčafela,Café,46.074608000000005,14.487689000000001,73,2945.948962124265
